trial,ts_iso,compute_s,auth_s,cpu_percent,sys_mem_percent,rss_mb,rss_delta_kb,vms_mb,peak_rss_mb
1,2025-10-22T09:13:55,0.001834,0.021639,24.4,45.2,38.371,0.0,536.941,38.402
2,2025-10-22T09:13:55,0.001165,0.018835,12.5,45.2,38.402,32.0,536.957,38.441
3,2025-10-22T09:13:55,0.001165,0.018238,37.5,45.2,38.398,-4.0,536.957,38.441
4,2025-10-22T09:13:55,0.001222,0.018111,63.6,45.2,38.398,0.0,536.957,38.441
5,2025-10-22T09:13:55,0.001361,0.017925,12.5,45.2,38.398,0.0,536.957,38.441
6,2025-10-22T09:13:55,0.001408,0.018457,43.8,45.3,38.402,4.0,536.957,38.441
7,2025-10-22T09:13:55,0.001309,0.020036,18.8,45.2,38.402,0.0,536.957,38.441
8,2025-10-22T09:13:55,0.001081,0.019679,12.5,45.2,38.402,0.0,536.957,38.441
9,2025-10-22T09:13:55,0.001195,0.019403,15.6,45.2,38.402,0.0,536.957,38.441
10,2025-10-22T09:13:55,0.001195,0.018573,6.2,45.2,38.402,0.0,536.957,38.441
11,2025-10-22T09:13:55,0.001164,0.018198,17.6,45.2,38.402,0.0,536.957,38.441
12,2025-10-22T09:13:55,0.000834,0.019873,21.9,45.2,38.402,0.0,536.957,38.441
13,2025-10-22T09:13:55,0.000961,0.017929,47.1,45.2,38.402,0.0,536.957,38.441
14,2025-10-22T09:13:55,0.001071,0.018671,25.0,45.2,38.402,0.0,536.957,38.441
15,2025-10-22T09:13:55,0.001181,0.020139,9.4,45.2,38.402,0.0,536.957,38.441
16,2025-10-22T09:13:55,0.001337,0.019561,12.5,45.2,38.402,0.0,536.957,38.441
17,2025-10-22T09:13:55,0.000953,0.018439,14.3,45.2,38.402,0.0,536.957,38.441
18,2025-10-22T09:13:55,0.001084,0.017912,20.0,45.2,38.406,4.0,536.957,38.445
19,2025-10-22T09:13:55,0.001117,0.017592,6.2,45.2,38.406,0.0,536.957,38.445
20,2025-10-22T09:13:56,0.000978,0.018128,30.8,45.2,38.406,0.0,536.957,38.445
21,2025-10-22T09:13:56,0.001222,0.020571,13.6,45.2,38.406,0.0,536.957,38.445
22,2025-10-22T09:13:56,0.001188,0.019048,12.5,45.2,38.406,0.0,536.957,38.445
23,2025-10-22T09:13:56,0.001051,0.018397,15.6,45.2,38.406,0.0,536.957,38.445
24,2025-10-22T09:13:56,0.001509,0.01941,31.2,45.2,38.406,0.0,536.957,38.445
25,2025-10-22T09:13:56,0.001236,0.018178,31.6,45.2,38.406,0.0,536.957,38.445
26,2025-10-22T09:13:56,0.001177,0.019303,3.4,45.2,38.406,0.0,536.957,38.445
27,2025-10-22T09:13:56,0.001066,0.018205,6.2,45.2,38.406,0.0,536.957,38.445
28,2025-10-22T09:13:56,0.001019,0.018076,25.8,45.2,38.41,4.0,536.957,38.449
29,2025-10-22T09:13:56,0.001232,0.018505,16.7,45.2,38.41,0.0,536.957,38.449
30,2025-10-22T09:13:56,0.001153,0.018672,37.5,45.2,38.41,0.0,536.957,38.449
31,2025-10-22T09:13:56,0.000997,0.01939,9.4,45.2,38.41,0.0,536.957,38.449
32,2025-10-22T09:13:56,0.001092,0.019503,6.2,45.2,38.41,0.0,536.957,38.449
33,2025-10-22T09:13:56,0.001263,0.018845,25.8,45.2,38.41,0.0,536.957,38.449
34,2025-10-22T09:13:56,0.00111,0.018836,5.6,45.2,38.41,0.0,536.957,38.449
35,2025-10-22T09:13:56,0.001097,0.018357,25.0,45.2,38.41,0.0,536.957,38.449
36,2025-10-22T09:13:56,0.001095,0.017904,15.0,45.2,38.41,0.0,536.957,38.449
37,2025-10-22T09:13:56,0.001147,0.018855,10.3,45.2,38.41,0.0,536.957,38.449
38,2025-10-22T09:13:56,0.001089,0.019191,12.5,45.2,38.414,4.0,536.957,38.453
39,2025-10-22T09:13:56,0.001255,0.018169,15.2,45.2,38.414,0.0,536.957,38.453
40,2025-10-22T09:13:56,0.000988,0.018283,6.2,45.2,38.414,0.0,536.957,38.453
41,2025-10-22T09:13:56,0.001001,0.018591,6.2,45.2,38.414,0.0,536.957,38.453
42,2025-10-22T09:13:56,0.001009,0.017901,45.2,45.2,38.414,0.0,536.957,38.453
43,2025-10-22T09:13:56,0.001146,0.019619,11.1,45.2,38.414,0.0,536.957,38.453
44,2025-10-22T09:13:56,0.001025,0.017795,33.3,45.2,38.414,0.0,536.957,38.453
45,2025-10-22T09:13:56,0.001063,0.018369,56.2,45.2,38.414,0.0,536.957,38.453
46,2025-10-22T09:13:56,0.001256,0.019856,18.8,45.2,38.414,0.0,536.957,38.453
47,2025-10-22T09:13:56,0.001046,0.021865,35.5,45.2,38.414,0.0,536.957,38.453
48,2025-10-22T09:13:56,0.001342,0.01898,11.1,45.2,38.414,0.0,536.957,38.453
49,2025-10-22T09:13:56,0.001231,0.017506,12.5,45.2,38.414,0.0,536.957,38.453
50,2025-10-22T09:13:56,0.001106,0.018061,42.9,45.2,38.414,0.0,536.957,38.453
51,2025-10-22T09:13:56,0.001039,0.019397,10.0,45.2,38.414,0.0,536.957,38.453
52,2025-10-22T09:13:56,0.001118,0.021519,21.9,45.2,38.414,0.0,536.957,38.453
53,2025-10-22T09:13:56,0.001254,0.020301,12.5,45.2,38.414,0.0,536.957,38.453
54,2025-10-22T09:13:56,0.001233,0.019118,12.9,45.2,38.414,0.0,536.957,38.453
55,2025-10-22T09:13:56,0.001039,0.018636,11.8,45.2,38.414,0.0,536.957,38.453
56,2025-10-22T09:13:56,0.001352,0.019694,29.4,45.2,38.414,0.0,536.957,38.453
57,2025-10-22T09:13:56,0.000978,0.018283,28.1,45.2,38.414,0.0,536.957,38.453
58,2025-10-22T09:13:56,0.001401,0.019191,17.6,45.2,38.414,0.0,536.957,38.453
59,2025-10-22T09:13:56,0.00107,0.020158,18.8,45.2,38.414,0.0,536.957,38.453
60,2025-10-22T09:13:56,0.00107,0.01751,6.2,45.2,38.414,0.0,536.957,38.453
61,2025-10-22T09:13:56,0.001079,0.01858,17.6,45.2,38.414,0.0,536.957,38.453
62,2025-10-22T09:13:56,0.001256,0.019781,34.5,45.2,38.414,0.0,536.957,38.453
63,2025-10-22T09:13:56,0.001021,0.022871,47.4,45.2,38.414,0.0,536.957,38.453
64,2025-10-22T09:13:56,0.001557,0.019123,25.0,45.2,38.414,0.0,536.957,38.453
65,2025-10-22T09:13:56,0.001008,0.0185,6.2,45.2,38.414,0.0,536.957,38.453
66,2025-10-22T09:13:57,0.001082,0.018154,47.1,45.2,38.414,0.0,536.957,38.453
67,2025-10-22T09:13:57,0.000979,0.019139,24.2,45.2,38.414,0.0,536.957,38.453
68,2025-10-22T09:13:57,0.001239,0.020592,12.5,45.2,38.414,0.0,536.957,38.453
69,2025-10-22T09:13:57,0.001274,0.020167,18.8,45.2,38.414,0.0,536.957,38.453
70,2025-10-22T09:13:57,0.0011,0.019883,31.2,45.2,38.414,0.0,536.957,38.453
71,2025-10-22T09:13:57,0.001072,0.018117,37.5,45.2,38.414,0.0,536.957,38.453
72,2025-10-22T09:13:57,0.001292,0.018358,31.2,45.2,38.414,0.0,536.957,38.453
73,2025-10-22T09:13:57,0.001096,0.018239,6.2,45.2,38.414,0.0,536.957,38.453
74,2025-10-22T09:13:57,0.001078,0.019294,20.7,45.2,38.414,0.0,536.957,38.453
75,2025-10-22T09:13:57,0.001125,0.018953,10.5,45.2,38.414,0.0,536.957,38.453
76,2025-10-22T09:13:57,0.001286,0.01871,25.0,45.2,38.414,0.0,536.957,38.453
77,2025-10-22T09:13:57,0.001076,0.01925,20.0,45.2,38.414,0.0,536.957,38.453
78,2025-10-22T09:13:57,0.001234,0.018657,5.6,45.2,38.418,4.0,536.957,38.457
79,2025-10-22T09:13:57,0.001016,0.017946,31.2,45.2,38.418,0.0,536.957,38.457
80,2025-10-22T09:13:57,0.001312,0.018191,53.1,45.2,38.418,0.0,536.957,38.457
81,2025-10-22T09:13:57,0.001143,0.018651,58.8,45.2,38.418,0.0,536.957,38.457
82,2025-10-22T09:13:57,0.000958,0.018277,37.5,45.2,38.418,0.0,536.957,38.457
83,2025-10-22T09:13:57,0.001115,0.018882,21.9,45.2,38.418,0.0,536.957,38.457
84,2025-10-22T09:13:57,0.001053,0.019529,18.8,45.2,38.418,0.0,536.957,38.457
85,2025-10-22T09:13:57,0.001382,0.018883,42.9,45.2,38.418,0.0,536.957,38.457
86,2025-10-22T09:13:57,0.001163,0.01968,37.5,45.2,38.418,0.0,536.957,38.457
87,2025-10-22T09:13:57,0.001128,0.018069,18.8,45.2,38.418,0.0,536.957,38.457
88,2025-10-22T09:13:57,0.001389,0.019573,34.4,45.2,38.418,0.0,536.957,38.457
89,2025-10-22T09:13:57,0.001055,0.019696,6.2,45.2,38.418,0.0,536.957,38.457
90,2025-10-22T09:13:57,0.001112,0.017752,88.2,45.2,38.418,0.0,536.957,38.457
91,2025-10-22T09:13:57,0.000987,0.018273,15.6,45.2,38.418,0.0,536.957,38.457
92,2025-10-22T09:13:57,0.001404,0.018927,18.8,45.2,38.418,0.0,536.957,38.457
93,2025-10-22T09:13:57,0.001076,0.020069,33.3,45.2,38.418,0.0,536.957,38.457
94,2025-10-22T09:13:57,0.001146,0.018456,25.0,45.2,38.418,0.0,536.957,38.457
95,2025-10-22T09:13:57,0.001084,0.017934,31.2,45.2,38.418,0.0,536.957,38.457
96,2025-10-22T09:13:57,0.001252,0.018762,37.9,45.2,38.422,4.0,536.957,38.461
97,2025-10-22T09:13:57,0.001067,0.018071,16.7,45.2,38.422,0.0,536.957,38.461
98,2025-10-22T09:13:57,0.00119,0.019114,17.6,45.2,38.422,0.0,536.957,38.461
99,2025-10-22T09:13:57,0.001417,0.019586,50.0,45.2,38.422,0.0,536.957,38.461
100,2025-10-22T09:13:57,0.001155,0.018137,47.1,45.2,38.422,0.0,536.957,38.461
101,2025-10-22T09:13:57,0.001178,0.019529,28.1,45.2,38.422,0.0,536.957,38.461
102,2025-10-22T09:13:57,0.00108,0.01971,18.8,45.2,38.422,0.0,536.957,38.461
103,2025-10-22T09:13:57,0.001192,0.019997,56.2,45.2,38.422,0.0,536.957,38.461
104,2025-10-22T09:13:57,0.00127,0.018044,25.0,45.2,38.422,0.0,536.957,38.461
105,2025-10-22T09:13:57,0.00116,0.017519,40.0,45.2,38.422,0.0,536.957,38.461
106,2025-10-22T09:13:57,0.001094,0.018112,35.3,45.2,38.422,0.0,536.957,38.461
107,2025-10-22T09:13:57,0.001051,0.018236,35.5,45.2,38.422,0.0,536.957,38.461
108,2025-10-22T09:13:57,0.001033,0.019048,58.8,45.2,38.422,0.0,536.957,38.461
109,2025-10-22T09:13:57,0.001155,0.02159,56.2,45.2,38.422,0.0,536.957,38.461
110,2025-10-22T09:13:57,0.00104,0.019189,12.5,45.2,38.422,0.0,536.957,38.461
111,2025-10-22T09:13:57,0.001033,0.018628,56.2,45.2,38.422,0.0,536.957,38.461
112,2025-10-22T09:13:57,0.001044,0.018654,15.6,45.2,38.422,0.0,536.957,38.461
113,2025-10-22T09:13:58,0.001346,0.019336,31.2,45.2,38.422,0.0,536.957,38.461
