trial,ts_iso,compute_s,auth_s,cpu_percent,mem_percent
1,2025-10-21T15:33:08,0.001377,0.020296,12.5,43.0
2,2025-10-21T15:33:08,0.001036,0.018224,6.2,43.0
3,2025-10-21T15:33:08,0.001282,0.019127,6.2,43.0
4,2025-10-21T15:33:08,0.001058,0.018847,23.3,43.0
5,2025-10-21T15:33:08,0.001011,0.02005,11.1,43.0
6,2025-10-21T15:33:08,0.001042,0.019516,35.3,43.0
7,2025-10-21T15:33:08,0.00113,0.019422,18.2,43.0
8,2025-10-21T15:33:08,0.00112,0.020125,75.0,43.0
9,2025-10-21T15:33:08,0.001076,0.019927,25.0,43.0
10,2025-10-21T15:33:08,0.00112,0.018956,18.8,43.0
11,2025-10-21T15:33:08,0.000949,0.018168,6.2,43.0
12,2025-10-21T15:33:08,0.001052,0.019254,12.5,43.0
13,2025-10-21T15:33:08,0.001221,0.018971,31.2,43.0
14,2025-10-21T15:33:08,0.001087,0.020139,12.5,43.0
15,2025-10-21T15:33:08,0.00139,0.019923,25.0,43.0
16,2025-10-21T15:33:09,0.001205,0.020227,29.0,43.0
17,2025-10-21T15:33:09,0.000915,0.019784,5.9,43.0
18,2025-10-21T15:33:09,0.00095,0.019582,43.8,43.0
19,2025-10-21T15:33:09,0.001274,0.019664,17.6,43.0
20,2025-10-21T15:33:09,0.001225,0.020155,43.8,43.0
21,2025-10-21T15:33:09,0.001205,0.018764,18.8,43.0
22,2025-10-21T15:33:09,0.001105,0.020898,12.5,43.0
23,2025-10-21T15:33:09,0.001118,0.020413,18.8,43.0
24,2025-10-21T15:33:09,0.001499,0.021681,34.4,43.0
25,2025-10-21T15:33:09,0.000932,0.020807,25.0,43.0
26,2025-10-21T15:33:09,0.001068,0.020054,18.8,43.0
27,2025-10-21T15:33:09,0.001334,0.018908,17.6,43.0
28,2025-10-21T15:33:09,0.001009,0.019008,25.0,43.0
29,2025-10-21T15:33:09,0.001039,0.020393,25.0,43.0
30,2025-10-21T15:33:09,0.001173,0.018751,25.0,43.0
31,2025-10-21T15:33:09,0.001137,0.020263,25.0,43.0
32,2025-10-21T15:33:09,0.001235,0.019755,60.6,43.0
33,2025-10-21T15:33:09,0.001059,0.019324,12.5,43.0
34,2025-10-21T15:33:09,0.001108,0.019617,50.0,43.0
35,2025-10-21T15:33:09,0.001112,0.019846,18.8,43.0
36,2025-10-21T15:33:09,0.001269,0.018322,12.5,43.0
37,2025-10-21T15:33:09,0.001071,0.018994,31.2,43.0
38,2025-10-21T15:33:09,0.001396,0.019268,61.8,43.0
39,2025-10-21T15:33:09,0.001002,0.018174,43.8,43.0
40,2025-10-21T15:33:09,0.001208,0.019058,12.5,43.0
41,2025-10-21T15:33:09,0.001433,0.018684,23.5,43.0
42,2025-10-21T15:33:09,0.000962,0.018507,12.5,43.0
43,2025-10-21T15:33:09,0.001236,0.017728,31.2,43.0
44,2025-10-21T15:33:09,0.001393,0.020504,46.9,43.0
45,2025-10-21T15:33:09,0.001001,0.02002,18.8,43.0
46,2025-10-21T15:33:09,0.001556,0.02,25.0,43.0
47,2025-10-21T15:33:09,0.001168,0.019039,15.6,43.0
48,2025-10-21T15:33:09,0.001278,0.020244,43.8,43.0
49,2025-10-21T15:33:09,0.001051,0.019055,37.5,43.0
50,2025-10-21T15:33:09,0.001209,0.01896,36.4,43.0
51,2025-10-21T15:33:09,0.001179,0.019833,6.2,43.0
52,2025-10-21T15:33:09,0.001333,0.019404,37.5,43.0
53,2025-10-21T15:33:09,0.001096,0.018304,59.4,43.0
54,2025-10-21T15:33:09,0.000966,0.019995,12.5,43.0
55,2025-10-21T15:33:09,0.001161,0.019341,37.5,43.0
56,2025-10-21T15:33:09,0.001053,0.019885,63.6,43.0
57,2025-10-21T15:33:09,0.001103,0.018097,17.6,43.0
58,2025-10-21T15:33:09,0.001297,0.018874,25.0,43.0
59,2025-10-21T15:33:09,0.001303,0.023093,48.5,43.0
60,2025-10-21T15:33:09,0.001191,0.019594,12.5,43.0
61,2025-10-21T15:33:09,0.000982,0.019988,18.8,43.0
62,2025-10-21T15:33:09,0.001348,0.019076,70.6,43.0
63,2025-10-21T15:33:09,0.001008,0.018824,25.0,43.0
64,2025-10-21T15:33:10,0.001029,0.020412,42.4,43.0
65,2025-10-21T15:33:10,0.001029,0.018917,6.2,43.0
66,2025-10-21T15:33:10,0.001179,0.019765,6.2,43.0
67,2025-10-21T15:33:10,0.001185,0.019591,28.1,43.0
68,2025-10-21T15:33:10,0.000966,0.0189,6.2,43.0
69,2025-10-21T15:33:10,0.001236,0.020776,47.1,43.0
70,2025-10-21T15:33:10,0.001166,0.020417,75.8,43.0
